date;time;user;nice;system;idle;iowait;irq;softirq
2023-10-25;14:35:55;0.5;0.8;1.2;93.2;0.0;0.0;4.2
2023-10-25;14:35:56;0.2;0.0;0.0;96.8;0.2;0.0;2.8
2023-10-25;14:35:57;0.2;0.0;1.5;94.8;0.0;0.0;3.5
2023-10-25;14:35:58;0.0;0.0;0.0;97.2;0.0;0.0;2.8
2023-10-25;14:35:59;0.8;0.0;0.8;94.8;0.0;0.0;3.8
2023-10-25;14:36:00;0.2;0.0;0.5;93.8;0.5;0.0;5.0
2023-10-25;14:36:01;0.0;0.0;0.2;95.0;0.0;0.0;4.8
2023-10-25;14:36:02;0.2;0.0;0.5;95.2;0.0;0.0;4.0
2023-10-25;14:36:03;0.2;0.0;0.0;88.8;0.0;0.0;11.0
2023-10-25;14:36:04;0.2;0.0;0.5;93.2;0.0;0.0;6.0
2023-10-25;14:36:05;0.0;0.2;0.2;92.2;0.2;0.0;7.0
2023-10-25;14:36:06;0.2;0.0;0.2;95.2;0.0;0.0;4.2
2023-10-25;14:36:07;0.2;0.0;0.2;94.8;0.0;0.0;4.8
2023-10-25;14:36:08;0.5;0.0;0.5;94.2;0.0;0.0;4.8
2023-10-25;14:36:09;0.0;0.0;0.0;96.8;0.0;0.0;3.2
2023-10-25;14:36:10;1.2;0.5;1.2;93.2;0.0;0.0;3.8
2023-10-25;14:36:11;0.2;0.0;0.2;96.2;0.0;0.0;3.2
2023-10-25;14:36:12;0.8;0.0;0.8;96.0;0.0;0.0;2.5
2023-10-25;14:36:13;6.2;0.0;5.7;85.1;0.0;0.0;3.0
2023-10-25;14:36:14;0.2;0.0;0.5;93.8;0.0;0.0;5.5
2023-10-25;14:36:15;0.0;0.0;0.0;96.2;0.2;0.0;3.5
2023-10-25;14:36:16;0.0;0.0;0.2;96.0;0.0;0.0;3.8
2023-10-25;14:36:17;0.2;0.0;0.5;92.5;0.0;0.0;6.8
2023-10-25;14:36:18;0.0;0.0;0.0;97.0;0.0;0.0;3.0
2023-10-25;14:36:19;0.0;0.0;0.5;95.5;0.0;0.0;4.0
2023-10-25;14:36:20;0.0;0.0;0.8;96.5;0.0;0.0;2.8
2023-10-25;14:36:21;0.5;0.0;0.8;94.0;0.0;0.0;4.8
2023-10-25;14:36:22;0.5;0.0;0.2;95.2;0.0;0.0;4.0
2023-10-25;14:36:23;2.2;0.0;3.2;90.8;0.0;0.0;3.8
2023-10-25;14:36:24;0.0;0.0;0.2;95.5;0.0;0.0;4.2
2023-10-25;14:36:25;0.5;0.5;1.2;94.5;0.0;0.0;3.2
2023-10-25;14:36:26;0.0;0.0;0.8;97.5;0.0;0.0;1.8
2023-10-25;14:36:27;1.0;0.0;0.5;94.0;0.0;0.0;4.5
2023-10-25;14:36:28;0.0;0.0;0.0;94.2;0.0;0.0;5.8
2023-10-25;14:36:29;0.2;0.0;0.2;94.1;0.0;0.0;5.4
2023-10-25;14:36:30;0.0;0.0;0.5;93.8;0.2;0.0;5.5
2023-10-25;14:36:31;0.5;0.0;0.5;95.2;0.0;0.0;3.8
2023-10-25;14:36:32;0.2;0.0;0.2;90.0;0.0;0.0;9.5
2023-10-25;14:36:33;0.2;0.0;0.0;95.0;0.0;0.0;4.8
2023-10-25;14:36:34;0.0;0.0;0.0;93.2;0.0;0.0;6.8
2023-10-25;14:36:35;0.2;0.2;0.2;93.2;0.2;0.0;5.8
2023-10-25;14:36:36;0.2;0.0;0.2;96.0;0.0;0.0;3.5
2023-10-25;14:36:37;0.2;0.0;0.5;94.8;0.0;0.0;4.5
2023-10-25;14:36:38;0.0;0.0;0.0;92.8;0.0;0.0;7.2
2023-10-25;14:36:39;0.0;0.0;0.5;97.0;0.0;0.0;2.5
2023-10-25;14:36:40;0.8;0.5;1.5;95.0;0.0;0.0;2.2
2023-10-25;14:36:41;0.0;0.0;0.2;98.5;0.0;0.0;1.2
2023-10-25;14:36:42;0.2;0.0;0.5;94.0;0.0;0.0;5.2
2023-10-25;14:36:43;0.0;0.0;0.5;98.5;0.0;0.0;1.0
2023-10-25;14:36:44;0.0;0.0;0.2;97.0;0.0;0.0;2.7
2023-10-25;14:36:45;0.5;0.0;0.2;96.2;0.5;0.0;2.5
2023-10-25;14:36:46;0.0;0.0;0.2;94.8;0.0;0.0;5.0
2023-10-25;14:36:47;0.5;0.0;0.2;95.8;0.0;0.0;3.5
2023-10-25;14:36:48;0.2;0.0;0.0;92.5;0.0;0.0;7.2
2023-10-25;14:36:49;0.0;0.0;0.0;96.8;0.0;0.0;3.2
2023-10-25;14:36:50;0.0;0.0;0.5;95.2;0.2;0.0;4.0
2023-10-25;14:36:51;0.2;0.0;0.2;94.2;0.0;0.0;5.2
2023-10-25;14:36:52;0.0;0.0;0.0;94.2;0.0;0.0;5.8
2023-10-25;14:36:53;0.5;0.0;0.0;95.2;0.0;0.0;4.2
2023-10-25;14:36:54;0.2;0.0;0.0;95.5;0.0;0.0;4.2
2023-10-25;14:36:55;0.8;0.2;2.2;91.5;0.0;0.0;5.2
2023-10-25;14:36:56;0.7;0.0;1.5;94.3;0.0;0.0;3.5
2023-10-25;14:36:57;0.0;0.0;0.2;91.5;0.0;0.0;8.2
2023-10-25;14:36:58;0.0;0.0;0.0;93.8;0.0;0.0;6.2
2023-10-25;14:36:59;0.0;0.0;0.2;92.0;0.0;0.0;7.8
2023-10-25;14:37:00;0.2;0.2;0.8;91.8;0.2;0.0;6.8
2023-10-25;14:37:01;0.2;0.0;0.0;90.0;0.0;0.0;9.8
2023-10-25;14:37:02;0.2;0.0;0.0;96.5;0.0;0.0;3.2
2023-10-25;14:37:03;0.0;0.0;0.2;93.0;0.0;0.0;6.8
2023-10-25;14:37:04;0.2;0.0;0.0;92.5;0.0;0.0;7.2
2023-10-25;14:37:05;0.5;0.0;0.2;95.5;0.2;0.0;3.5
2023-10-25;14:37:06;0.2;0.0;0.0;94.5;0.0;0.0;5.2
2023-10-25;14:37:07;0.0;0.0;0.5;96.8;0.0;0.0;2.8
2023-10-25;14:37:08;0.2;0.0;0.0;97.2;0.0;0.0;2.5
2023-10-25;14:37:09;0.8;0.0;0.8;96.2;0.0;0.0;2.2
2023-10-25;14:37:10;1.0;0.5;2.0;94.8;0.0;0.0;1.8
2023-10-25;14:37:11;0.2;0.0;0.2;96.5;0.0;0.0;3.0
2023-10-25;14:37:12;0.2;0.0;0.5;97.0;0.0;0.0;2.2
2023-10-25;14:37:13;0.2;0.0;0.2;96.2;0.0;0.0;3.2
2023-10-25;14:37:14;0.2;0.0;1.8;94.0;0.0;0.0;4.0
2023-10-25;14:37:15;0.0;0.0;1.2;94.2;0.2;0.0;4.2
2023-10-25;14:37:16;0.0;0.0;0.2;96.0;0.0;0.0;3.8
2023-10-25;14:37:17;0.5;0.0;0.0;96.0;0.0;0.0;3.5
2023-10-25;14:37:18;0.2;0.0;0.0;95.0;0.0;0.0;4.8
2023-10-25;14:37:19;0.2;0.0;0.0;94.2;0.0;0.0;5.5
2023-10-25;14:37:20;0.0;0.2;0.2;93.8;0.2;0.0;5.5
2023-10-25;14:37:21;0.2;0.0;0.0;95.0;0.0;0.0;4.8
2023-10-25;14:37:22;0.2;0.0;0.0;94.8;0.0;0.0;5.0
2023-10-25;14:37:23;0.0;0.0;0.0;96.5;0.0;0.0;3.5
2023-10-25;14:37:24;0.5;0.0;0.2;94.2;0.0;0.0;5.0
2023-10-25;14:37:25;0.5;0.5;1.8;93.2;0.0;0.0;4.0
2023-10-25;14:37:26;0.2;0.0;0.0;96.0;0.0;0.0;3.7
2023-10-25;14:37:27;0.2;0.0;0.0;94.5;0.0;0.0;5.2
2023-10-25;14:37:28;0.2;0.0;0.2;95.8;0.0;0.0;3.8
2023-10-25;14:37:29;0.2;0.0;0.2;95.8;0.0;0.0;3.8
2023-10-25;14:37:30;0.2;0.0;1.5;94.0;0.2;0.0;4.0
2023-10-25;14:37:31;0.0;0.0;0.5;95.0;0.0;0.0;4.5
2023-10-25;14:37:32;0.0;0.0;0.5;96.8;0.0;0.0;2.8
2023-10-25;14:37:33;0.2;0.0;0.8;94.8;0.0;0.0;4.2
2023-10-25;14:37:34;0.2;0.0;0.0;94.8;0.0;0.0;5.0
2023-10-25;14:37:35;0.0;0.0;0.0;96.8;0.0;0.0;3.2
2023-10-25;14:37:36;0.2;0.0;0.0;92.2;0.0;0.0;7.5
2023-10-25;14:37:37;0.5;0.0;0.0;92.5;0.0;0.0;7.0
2023-10-25;14:37:38;0.0;0.0;0.5;93.8;0.0;0.0;5.8
2023-10-25;14:37:39;0.0;0.0;0.5;95.0;0.0;0.0;4.5
2023-10-25;14:37:40;1.0;0.5;1.5;91.5;0.0;0.0;5.5
2023-10-25;14:37:41;0.5;0.0;0.5;95.0;0.2;0.0;3.8
2023-10-25;14:37:42;0.2;0.0;0.5;92.8;0.0;0.0;6.5
2023-10-25;14:37:43;0.5;0.0;0.0;97.0;0.0;0.0;2.5
2023-10-25;14:37:44;0.2;0.0;0.8;94.8;0.0;0.0;4.2
2023-10-25;14:37:45;0.2;0.2;0.5;94.0;0.0;0.0;5.0
2023-10-25;14:37:46;0.2;0.0;0.5;96.5;0.0;0.0;2.8
2023-10-25;14:37:47;0.2;0.0;0.5;95.8;0.0;0.0;3.5
2023-10-25;14:37:48;0.2;0.0;0.2;95.0;0.0;0.0;4.5
2023-10-25;14:37:49;0.5;0.0;0.0;94.2;0.0;0.0;5.2
2023-10-25;14:37:50;0.5;0.0;0.5;92.2;0.2;0.0;6.5
2023-10-25;14:37:51;0.0;0.0;0.0;89.2;0.0;0.0;10.8
2023-10-25;14:37:52;0.0;0.0;1.2;92.8;0.0;0.0;6.0
2023-10-25;14:37:53;0.2;0.0;0.2;95.8;0.0;0.0;3.7
2023-10-25;14:37:54;0.0;0.0;0.2;96.2;0.0;0.0;3.5
2023-10-25;14:37:55;0.8;0.5;2.0;93.8;0.0;0.0;3.0
2023-10-25;14:37:56;0.0;0.0;0.5;95.8;0.0;0.0;3.8
2023-10-25;14:37:57;0.2;0.0;0.2;93.2;0.0;0.0;6.2
2023-10-25;14:37:58;0.0;0.0;0.0;96.8;0.0;0.0;3.2
2023-10-25;14:37:59;0.2;0.0;0.0;96.5;0.0;0.0;3.2
2023-10-25;14:38:00;0.5;0.2;0.8;92.0;0.2;0.0;6.2
2023-10-25;14:38:01;0.0;0.0;0.2;89.8;0.0;0.0;10.0
2023-10-25;14:38:02;0.2;0.0;0.2;91.2;0.0;0.0;8.2
2023-10-25;14:38:03;0.8;0.0;2.0;93.0;0.0;0.0;4.2
2023-10-25;14:38:04;0.2;0.0;0.5;91.8;0.0;0.0;7.5
2023-10-25;14:38:05;0.0;0.0;0.8;91.0;0.2;0.0;8.0
2023-10-25;14:38:06;0.5;0.0;0.2;93.5;0.0;0.0;5.8
2023-10-25;14:38:07;0.0;0.0;0.7;94.1;0.0;0.0;5.2
2023-10-25;14:38:08;0.2;0.0;0.2;92.0;0.0;0.0;7.5
2023-10-25;14:38:09;0.2;0.0;0.0;96.8;0.0;0.0;3.0
2023-10-25;14:38:10;0.8;0.5;1.0;92.8;0.0;0.0;5.0
2023-10-25;14:38:11;0.0;0.0;0.0;96.5;0.0;0.0;3.5
2023-10-25;14:38:12;0.0;0.0;0.8;95.8;0.0;0.0;3.5
2023-10-25;14:38:13;0.2;0.0;0.0;95.5;0.0;0.0;4.2
2023-10-25;14:38:14;0.2;0.0;0.0;94.0;0.0;0.0;5.8
2023-10-25;14:38:15;0.0;0.0;0.2;94.8;0.5;0.0;4.5
2023-10-25;14:38:16;0.0;0.0;0.2;95.0;0.0;0.0;4.8
2023-10-25;14:38:17;0.0;0.0;0.2;94.5;0.0;0.0;5.2
2023-10-25;14:38:18;0.2;0.0;0.0;93.8;0.0;0.0;6.0
2023-10-25;14:38:19;0.0;0.0;0.5;95.2;0.0;0.0;4.2
2023-10-25;14:38:20;0.0;0.0;0.0;96.8;0.2;0.0;3.0
2023-10-25;14:38:21;0.5;0.0;0.0;95.8;0.0;0.0;3.8
2023-10-25;14:38:22;0.0;0.0;1.0;95.5;0.0;0.0;3.5
2023-10-25;14:38:23;0.2;0.0;0.0;97.5;0.0;0.0;2.2
2023-10-25;14:38:24;0.2;0.0;0.0;97.5;0.0;0.0;2.2
2023-10-25;14:38:25;1.0;1.0;1.2;92.5;0.0;0.0;4.2
2023-10-25;14:38:26;0.0;0.0;0.2;92.8;0.2;0.0;6.8
2023-10-25;14:38:27;0.5;0.0;1.2;94.8;0.0;0.0;3.5
2023-10-25;14:38:28;0.2;0.0;0.5;92.0;0.0;0.0;7.2
2023-10-25;14:38:29;0.0;0.0;0.2;96.2;0.0;0.0;3.5
2023-10-25;14:38:30;0.8;0.0;0.2;93.2;0.2;0.0;5.5
2023-10-25;14:38:31;0.2;0.0;0.2;94.5;0.0;0.0;5.0
2023-10-25;14:38:32;0.0;0.0;1.2;94.5;0.0;0.0;4.2
2023-10-25;14:38:33;0.0;0.0;0.2;94.0;0.0;0.0;5.8
2023-10-25;14:38:34;0.8;0.0;0.8;92.8;0.0;0.0;5.8
2023-10-25;14:38:35;0.0;0.0;0.5;93.2;0.2;0.0;6.0
2023-10-25;14:38:36;0.2;0.0;0.2;92.6;0.0;0.0;6.9
2023-10-25;14:38:37;0.5;0.0;0.2;86.2;0.0;0.0;13.0
2023-10-25;14:38:38;0.5;0.0;0.0;88.8;0.0;0.0;10.8
2023-10-25;14:38:39;0.2;0.0;0.0;94.0;0.0;0.0;5.8
2023-10-25;14:38:40;0.8;0.8;1.2;92.8;0.0;0.0;4.5
2023-10-25;14:38:41;0.2;0.0;0.0;95.2;0.0;0.0;4.5
2023-10-25;14:38:42;0.5;0.0;0.5;92.5;0.0;0.0;6.5
2023-10-25;14:38:43;0.2;0.0;0.0;88.0;0.0;0.0;11.8
2023-10-25;14:38:44;0.0;0.0;0.2;85.8;0.0;0.0;14.0
2023-10-25;14:38:45;0.0;0.0;0.2;93.0;0.2;0.0;6.5
2023-10-25;14:38:46;0.2;0.0;0.2;89.5;0.0;0.0;10.0
2023-10-25;14:38:47;0.2;0.0;0.5;90.8;0.0;0.0;8.5
2023-10-25;14:38:48;0.0;0.0;0.0;95.2;0.0;0.0;4.8
2023-10-25;14:38:49;0.2;0.0;0.0;94.2;0.0;0.0;5.5
2023-10-25;14:38:50;0.5;0.0;0.0;92.3;0.2;0.0;6.9
2023-10-25;14:38:51;0.2;0.0;1.0;94.5;0.0;0.0;4.2
2023-10-25;14:38:52;0.0;0.0;0.0;95.2;0.0;0.0;4.8
2023-10-25;14:38:53;0.2;0.0;0.0;96.5;0.0;0.0;3.2
2023-10-25;14:38:54;0.2;0.0;0.5;96.2;0.0;0.0;3.0
2023-10-25;14:38:55;0.5;0.8;1.2;94.8;0.0;0.0;2.8
2023-10-25;14:38:56;0.5;0.0;0.2;95.0;0.0;0.0;4.2
2023-10-25;14:38:57;0.5;0.0;0.2;95.5;0.0;0.0;3.8
2023-10-25;14:38:58;0.0;0.0;0.5;96.0;0.0;0.0;3.5
2023-10-25;14:38:59;0.0;0.0;0.2;95.2;0.0;0.0;4.5
2023-10-25;14:39:00;0.5;0.0;1.2;94.2;0.2;0.0;3.8
2023-10-25;14:39:01;0.0;0.0;0.2;95.0;0.0;0.0;4.8
2023-10-25;14:39:02;0.8;0.0;0.5;91.8;0.0;0.0;7.0
2023-10-25;14:39:03;0.5;0.0;0.5;90.8;0.0;0.0;8.2
2023-10-25;14:39:04;0.2;0.0;0.5;93.0;0.0;0.0;6.2
2023-10-25;14:39:05;0.5;0.2;0.2;93.3;0.2;0.0;5.4
2023-10-25;14:39:06;0.2;0.0;0.5;93.2;0.0;0.0;6.0
2023-10-25;14:39:07;0.0;0.0;0.2;94.2;0.0;0.0;5.5
2023-10-25;14:39:08;0.2;0.0;0.5;91.5;0.0;0.0;7.8
2023-10-25;14:39:09;0.5;0.0;0.0;94.0;0.0;0.0;5.5
2023-10-25;14:39:10;0.8;0.0;2.5;95.0;0.0;0.0;1.8
2023-10-25;14:39:12;0.8;0.0;0.5;95.5;0.2;0.0;3.0
2023-10-25;14:39:13;0.0;0.0;0.0;97.5;0.0;0.0;2.5
2023-10-25;14:39:14;0.0;0.0;0.2;97.8;0.0;0.0;2.0
2023-10-25;14:39:15;0.0;0.0;0.2;96.0;0.0;0.0;3.8
2023-10-25;14:39:16;0.0;0.0;0.0;95.0;0.5;0.0;4.5
2023-10-25;14:39:17;0.5;0.0;0.2;94.8;0.0;0.0;4.5
2023-10-25;14:39:18;0.5;0.0;0.5;91.0;0.0;0.0;8.0
2023-10-25;14:39:19;0.5;0.0;0.5;90.0;0.0;0.0;9.0
2023-10-25;14:39:20;0.2;0.0;0.0;92.1;0.0;0.0;7.7
2023-10-25;14:39:21;0.2;0.0;1.2;91.2;0.0;0.0;7.2
2023-10-25;14:39:22;0.2;0.0;0.2;93.8;0.0;0.0;5.8
2023-10-25;14:39:23;0.2;0.0;0.2;96.0;0.0;0.0;3.5
2023-10-25;14:39:24;0.5;0.0;0.2;95.8;0.0;0.0;3.5
2023-10-25;14:39:25;0.0;0.0;0.5;96.5;0.0;0.0;3.0
2023-10-25;14:39:26;1.0;1.2;1.2;93.5;0.0;0.0;3.0
2023-10-25;14:39:27;0.2;0.0;0.0;97.8;0.0;0.0;2.0
2023-10-25;14:39:28;0.0;0.0;0.5;96.2;0.0;0.0;3.2
2023-10-25;14:39:29;0.5;0.0;1.2;93.0;0.0;0.0;5.2
2023-10-25;14:39:30;0.0;0.0;0.2;94.5;0.0;0.0;5.2
2023-10-25;14:39:31;0.0;0.0;0.2;95.8;0.5;0.0;3.5
2023-10-25;14:39:32;0.2;0.0;0.2;95.5;0.0;0.0;4.0
2023-10-25;14:39:33;0.0;0.0;1.0;94.0;0.0;0.0;5.0
2023-10-25;14:39:34;0.5;0.0;0.0;92.2;0.0;0.0;7.2
2023-10-25;14:39:35;0.2;0.0;0.2;92.5;0.0;0.0;7.0
2023-10-25;14:39:36;0.2;0.0;0.7;90.8;0.0;0.0;8.2
2023-10-25;14:39:37;0.5;0.0;0.2;91.0;0.0;0.0;8.2
2023-10-25;14:39:38;0.2;0.0;0.8;94.2;0.0;0.0;4.8
2023-10-25;14:39:39;0.5;0.0;0.0;94.2;0.0;0.0;5.2
2023-10-25;14:39:40;0.5;0.0;0.2;93.8;0.0;0.0;5.5
2023-10-25;14:39:41;0.8;0.8;1.0;92.2;0.2;0.0;5.0
2023-10-25;14:39:42;0.2;0.0;0.5;95.8;0.0;0.0;3.5
2023-10-25;14:39:43;0.2;0.0;0.2;90.8;0.0;0.0;8.8
2023-10-25;14:39:44;0.2;0.0;0.2;94.2;0.0;0.0;5.2
2023-10-25;14:39:45;0.0;0.0;0.2;93.5;0.0;0.0;6.2
2023-10-25;14:39:46;0.2;0.0;0.2;92.8;0.0;0.0;6.8
2023-10-25;14:39:47;0.2;0.0;0.0;92.2;0.0;0.0;7.5
2023-10-25;14:39:48;0.0;0.0;0.8;92.5;0.0;0.0;6.8
2023-10-25;14:39:49;0.5;0.0;0.8;92.2;0.0;0.0;6.5
2023-10-25;14:39:50;0.5;0.0;0.5;88.6;0.0;0.0;10.4
2023-10-25;14:39:51;0.0;0.0;0.0;92.0;0.0;0.0;8.0
2023-10-25;14:39:52;0.0;0.0;0.5;91.5;0.0;0.0;8.0
2023-10-25;14:39:53;0.2;0.0;0.2;91.0;0.0;0.0;8.5
2023-10-25;14:39:54;0.5;0.0;0.2;91.2;0.0;0.0;8.0
2023-10-25;14:39:55;0.0;0.0;0.2;92.5;0.0;0.0;7.2
2023-10-25;14:39:56;0.5;0.5;1.5;91.2;0.0;0.0;6.2
2023-10-25;14:39:57;0.5;0.0;0.8;93.8;0.0;0.0;5.0
2023-10-25;14:39:58;0.2;0.0;0.2;93.8;0.0;0.0;5.7
2023-10-25;14:39:59;0.5;0.0;0.2;90.5;0.0;0.0;8.8
2023-10-25;14:40:00;0.2;0.0;0.8;91.8;0.0;0.0;7.2
2023-10-25;14:40:01;0.8;0.0;1.0;90.0;0.2;0.0;8.0
2023-10-25;14:40:02;0.2;0.0;0.2;85.5;0.0;0.0;14.0
2023-10-25;14:40:03;0.5;0.0;0.2;84.8;0.0;0.0;14.5
